Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2020-04-07 00:00:00-04:00;65,72;65,94;62,85;62,96;202887200;0,00;0,00;nan%
2020-04-08 00:00:00-04:00;63,76;64,89;63,40;64,57;168895200;0,00;0,00;2,56%
2020-04-09 00:00:00-04:00;65,21;65,54;64,24;65,04;161834800;0,00;0,00;0,72%
2020-04-13 00:00:00-04:00;65,11;66,42;64,51;66,31;131022800;0,00;0,00;1,96%
2020-04-14 00:00:00-04:00;67,95;69,95;67,48;69,66;194994800;0,00;0,00;5,05%
2020-04-15 00:00:00-04:00;68,53;69,49;68,10;69,03;131154400;0,00;0,00;-0,91%
2020-04-16 00:00:00-04:00;69,74;69,94;68,52;69,57;157125200;0,00;0,00;0,79%
2020-04-17 00:00:00-04:00;69,09;69,64;67,19;68,63;215250000;0,00;0,00;-1,36%
2020-04-20 00:00:00-04:00;67,45;68,36;67,19;67,21;130015200;0,00;0,00;-2,08%
2020-04-21 00:00:00-04:00;67,05;67,28;64,41;65,13;180991600;0,00;0,00;-3,09%
2020-04-22 00:00:00-04:00;66,40;67,44;66,06;67,00;116862400;0,00;0,00;2,88%
2020-04-23 00:00:00-04:00;66,95;68,37;66,71;66,74;124814400;0,00;0,00;-0,39%
2020-04-24 00:00:00-04:00;67,27;68,68;67,22;68,67;126161200;0,00;0,00;2,89%
2020-04-27 00:00:00-04:00;68,39;69,05;67,94;68,72;117087600;0,00;0,00;0,07%
2020-04-28 00:00:00-04:00;69,18;69,36;67,51;67,61;112004800;0,00;0,00;-1,62%
2020-04-29 00:00:00-04:00;69,10;70,30;68,89;69,83;137280800;0,00;0,00;3,28%
2020-04-30 00:00:00-04:00;70,37;71,48;69,98;71,30;183064000;0,00;0,00;2,11%
2020-05-01 00:00:00-04:00;69,47;72,56;69,37;70,15;240616800;0,00;0,00;-1,61%
2020-05-04 00:00:00-04:00;70,18;71,27;69,48;71,14;133568000;0,00;0,00;1,41%
2020-05-05 00:00:00-04:00;71,60;73,05;71,46;72,21;147751200;0,00;0,00;1,50%
2020-05-06 00:00:00-04:00;72,92;73,59;72,53;72,96;142333600;0,00;0,00;1,03%
2020-05-07 00:00:00-04:00;73,59;74,06;73,28;73,71;115215200;0,00;0,00;1,03%
2020-05-08 00:00:00-04:00;74,37;75,52;74,04;75,47;133838400;0,20;0,00;2,38%
2020-05-11 00:00:00-04:00;74,97;77,15;74,76;76,65;145946400;0,00;0,00;1,57%
2020-05-12 00:00:00-04:00;77,34;77,79;75,66;75,78;162301200;0,00;0,00;-1,14%
2020-05-13 00:00:00-04:00;75,96;76,88;73,78;74,86;200622400;0,00;0,00;-1,21%
2020-05-14 00:00:00-04:00;74,10;75,38;73,37;75,32;158929200;0,00;0,00;0,61%
2020-05-15 00:00:00-04:00;73,09;74,92;73,05;74,88;166348400;0,00;0,00;-0,59%
2020-05-18 00:00:00-04:00;76,21;77,02;75,51;76,64;135178400;0,00;0,00;2,36%
2020-05-19 00:00:00-04:00;76,66;77,51;76,17;76,20;101729600;0,00;0,00;-0,58%
2020-05-20 00:00:00-04:00;77,06;77,75;77,02;77,68;111504800;0,00;0,00;1,94%
2020-05-21 00:00:00-04:00;77,54;78,08;76,86;77,10;102688800;0,00;0,00;-0,75%
2020-05-22 00:00:00-04:00;76,84;77,68;76,74;77,60;81803200;0,00;0,00;0,64%
2020-05-26 00:00:00-04:00;78,72;78,90;77,02;77,07;125522000;0,00;0,00;-0,68%
2020-05-27 00:00:00-04:00;76,93;77,55;76,19;77,41;112945200;0,00;0,00;0,44%
2020-05-28 00:00:00-04:00;77,08;78,70;76,80;77,44;133560800;0,00;0,00;0,04%
2020-05-29 00:00:00-04:00;77,68;78,15;77,01;77,37;153532400;0,00;0,00;-0,10%
2020-06-01 00:00:00-04:00;77,32;78,44;77,19;78,32;80791200;0,00;0,00;1,23%
2020-06-02 00:00:00-04:00;78,05;78,70;77,61;78,68;87642800;0,00;0,00;0,46%
2020-06-03 00:00:00-04:00;79,00;79,38;78,43;79,11;104491200;0,00;0,00;0,55%
2020-06-04 00:00:00-04:00;78,94;79,24;78,06;78,43;87560400;0,00;0,00;-0,86%
2020-06-05 00:00:00-04:00;78,68;80,73;78,65;80,67;137250400;0,00;0,00;2,85%
2020-06-08 00:00:00-04:00;80,36;81,18;79,65;81,14;95654400;0,00;0,00;0,59%
2020-06-09 00:00:00-04:00;80,82;84,10;80,79;83,71;147712400;0,00;0,00;3,16%
2020-06-10 00:00:00-04:00;84,66;86,33;84,22;85,86;166651600;0,00;0,00;2,57%
2020-06-11 00:00:00-04:00;85,00;85,43;81,63;81,74;201662400;0,00;0,00;-4,80%
2020-06-12 00:00:00-04:00;83,88;84,63;81,33;82,44;200146000;0,00;0,00;0,86%
2020-06-15 00:00:00-04:00;81,09;84,12;80,93;83,46;138808800;0,00;0,00;1,24%
2020-06-16 00:00:00-04:00;85,52;85,95;83,88;85,67;165428800;0,00;0,00;2,65%
2020-06-17 00:00:00-04:00;86,42;86,48;85,43;85,55;114406400;0,00;0,00;-0,14%
2020-06-18 00:00:00-04:00;85,51;86,01;84,98;85,59;96820400;0,00;0,00;0,04%
2020-06-19 00:00:00-04:00;86,30;86,76;83,99;85,10;264476000;0,00;0,00;-0,57%
2020-06-22 00:00:00-04:00;85,49;87,47;85,45;87,33;135445200;0,00;0,00;2,62%
