Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Capital Gains;Daily Return
2020-04-20 00:00:00-04:00;26,24;26,79;26,23;26,34;2377200;0,00;0,00;0,00;nan%
2020-04-21 00:00:00-04:00;25,79;26,08;25,53;25,67;3026200;0,00;0,00;0,00;-2,54%
2020-04-22 00:00:00-04:00;25,96;26,03;25,83;25,96;2336600;0,00;0,00;0,00;1,12%
2020-04-23 00:00:00-04:00;25,87;26,40;25,58;25,68;5728400;0,00;0,00;0,00;-1,07%
2020-04-24 00:00:00-04:00;25,86;26,02;25,60;25,97;2664800;0,00;0,00;0,00;1,12%
2020-04-27 00:00:00-04:00;26,15;26,54;26,13;26,48;1666500;0,00;0,00;0,00;1,98%
2020-04-28 00:00:00-04:00;27,02;27,06;26,62;26,63;2444000;0,00;0,00;0,00;0,56%
2020-04-29 00:00:00-04:00;27,29;27,68;27,22;27,55;2322600;0,00;0,00;0,00;3,46%
2020-04-30 00:00:00-04:00;27,19;27,19;26,84;27,01;4322400;0,00;0,00;0,00;-1,96%
2020-05-01 00:00:00-04:00;26,60;26,73;26,28;26,41;4917000;0,00;0,00;0,00;-2,22%
2020-05-04 00:00:00-04:00;26,12;26,30;25,99;26,29;3017800;0,00;0,00;0,00;-0,46%
2020-05-05 00:00:00-04:00;26,35;26,51;26,19;26,24;1957100;0,00;0,00;0,00;-0,20%
2020-05-06 00:00:00-04:00;26,33;26,36;25,86;25,88;2690200;0,00;0,00;0,00;-1,36%
2020-05-07 00:00:00-04:00;26,32;26,51;26,19;26,35;2800400;0,00;0,00;0,00;1,81%
2020-05-08 00:00:00-04:00;26,70;26,84;26,66;26,79;1760000;0,00;0,00;0,00;1,68%
2020-05-11 00:00:00-04:00;26,48;26,68;26,39;26,63;1615500;0,00;0,00;0,00;-0,62%
2020-05-12 00:00:00-04:00;26,65;26,73;26,20;26,24;2100700;0,00;0,00;0,00;-1,47%
2020-05-13 00:00:00-04:00;26,18;26,20;25,54;25,75;3762100;0,00;0,00;0,00;-1,86%
2020-05-14 00:00:00-04:00;25,05;25,62;24,85;25,59;4711900;0,00;0,00;0,00;-0,64%
2020-05-15 00:00:00-04:00;25,49;25,71;25,39;25,65;2804700;0,00;0,00;0,00;0,24%
