Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Capital Gains;Daily Return
2020-04-20 00:00:00+01:00;102,10;102,10;101,98;102,05;10762;0,00;0,00;0,00;nan%
2020-04-21 00:00:00+01:00;102,08;102,08;101,98;101,98;167225;0,00;0,00;0,00;-0,07%
2020-04-22 00:00:00+01:00;101,98;102,08;101,98;102,08;15165;0,00;0,00;0,00;0,10%
2020-04-23 00:00:00+01:00;102,08;102,08;101,98;102,06;144201;0,00;0,00;0,00;-0,02%
2020-04-24 00:00:00+01:00;101,98;102,10;101,98;102,08;67833;0,00;0,00;0,00;0,02%
2020-04-27 00:00:00+01:00;102,08;102,08;101,96;102,02;148142;0,00;0,00;0,00;-0,06%
2020-04-28 00:00:00+01:00;102,10;102,10;102,00;102,06;26393;0,00;0,00;0,00;0,04%
2020-04-29 00:00:00+01:00;102,10;102,13;102,00;102,04;85880;0,00;0,00;0,00;-0,02%
2020-04-30 00:00:00+01:00;101,98;102,12;101,97;102,08;70228;0,00;0,00;0,00;0,04%
2020-05-01 00:00:00+01:00;102,10;102,10;101,98;102,01;14222;0,00;0,00;0,00;-0,07%
2020-05-04 00:00:00+01:00;102,08;102,08;101,98;102,03;19861;0,00;0,00;0,00;0,02%
2020-05-05 00:00:00+01:00;102,08;102,08;100,53;102,03;101228;0,00;0,00;0,00;0,00%
2020-05-06 00:00:00+01:00;102,08;102,08;101,98;102,03;83891;0,00;0,00;0,00;0,00%
2020-05-07 00:00:00+01:00;102,10;102,10;101,96;102,03;129755;0,00;0,00;0,00;0,00%
2020-05-11 00:00:00+01:00;102,08;102,08;101,98;102,00;348037;0,00;0,00;0,00;-0,03%
2020-05-12 00:00:00+01:00;101,98;102,06;101,98;102,02;69109;0,00;0,00;0,00;0,02%
2020-05-13 00:00:00+01:00;101,98;102,04;101,98;101,98;364821;0,00;0,00;0,00;-0,04%
2020-05-14 00:00:00+01:00;101,98;102,06;101,92;102,00;128593;0,00;0,00;0,00;0,02%
2020-05-15 00:00:00+01:00;102,06;102,06;102,00;102,06;42404;0,00;0,00;0,00;0,06%
2020-05-18 00:00:00+01:00;102,08;102,08;101,98;102,03;37310;0,00;0,00;0,00;-0,03%
2020-05-19 00:00:00+01:00;102,08;102,08;101,98;102,03;94172;0,00;0,00;0,00;0,00%
2020-05-20 00:00:00+01:00;102,00;102,07;102,00;102,03;62474;0,00;0,00;0,00;0,00%
2020-05-21 00:00:00+01:00;102,08;102,08;101,98;102,06;74142;0,00;0,00;0,00;0,03%
2020-05-22 00:00:00+01:00;102,06;102,06;102,00;102,00;136508;0,00;0,00;0,00;-0,06%
2020-05-26 00:00:00+01:00;102,08;102,08;102,00;102,03;210091;0,00;0,00;0,00;0,03%
2020-05-27 00:00:00+01:00;102,06;102,08;101,98;101,98;1063708;0,00;0,00;0,00;-0,05%
