Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Capital Gains;Daily Return
2020-04-20 00:00:00+02:00;244,51;244,51;241,74;241,74;560;0,00;0,00;0,00;nan%
2020-04-21 00:00:00+02:00;242,77;242,77;239,69;239,85;90;0,00;0,00;0,00;-0,78%
2020-04-22 00:00:00+02:00;239,89;239,89;237,26;237,77;381;0,00;0,00;0,00;-0,87%
2020-04-23 00:00:00+02:00;238,38;240,80;238,38;240,80;98;0,00;0,00;0,00;1,27%
2020-04-24 00:00:00+02:00;241,70;243,55;240,93;243,42;374;0,00;0,00;0,00;1,09%
2020-04-27 00:00:00+02:00;244,98;245,39;244,06;244,84;2563;0,00;0,00;0,00;0,58%
2020-04-28 00:00:00+02:00;245,02;246,17;244,49;245,62;835;0,00;0,00;0,00;0,32%
2020-04-29 00:00:00+02:00;244,93;246,57;244,39;245,93;397;0,00;0,00;0,00;0,13%
2020-04-30 00:00:00+02:00;246,78;248,70;246,20;248,63;1640;0,00;0,00;0,00;1,10%
2020-05-04 00:00:00+02:00;246,91;247,44;246,23;247,11;1620;0,00;0,00;0,00;-0,61%
2020-05-05 00:00:00+02:00;246,73;246,73;245,56;245,75;252;0,00;0,00;0,00;-0,55%
2020-05-06 00:00:00+02:00;245,63;245,63;242,30;242,30;229;0,00;0,00;0,00;-1,41%
2020-05-07 00:00:00+02:00;241,92;243,63;241,07;243,63;99;0,00;0,00;0,00;0,55%
2020-05-08 00:00:00+02:00;243,83;245,34;243,83;244,08;99;0,00;0,00;0,00;0,18%
2020-05-11 00:00:00+02:00;243,31;243,53;242,37;242,82;399;0,00;0,00;0,00;-0,52%
2020-05-12 00:00:00+02:00;242,41;243,32;240,38;243,32;1308;0,00;0,00;0,00;0,21%
2020-05-13 00:00:00+02:00;244,04;245,43;243,23;245,11;262;0,00;0,00;0,00;0,74%
2020-05-14 00:00:00+02:00;245,38;246,34;244,90;245,02;1030;1,25;0,00;0,00;-0,04%
2020-05-15 00:00:00+02:00;245,52;245,91;244,42;244,42;828;0,00;0,00;0,00;-0,24%
2020-05-18 00:00:00+02:00;244,19;245,32;244,19;244,26;238;0,00;0,00;0,00;-0,07%
2020-05-19 00:00:00+02:00;245,04;245,37;244,72;245,26;32;0,00;0,00;0,00;0,41%
2020-05-20 00:00:00+02:00;244,45;245,81;244,45;245,76;107;0,00;0,00;0,00;0,20%
2020-05-21 00:00:00+02:00;246,16;246,29;245,23;246,29;23;0,00;0,00;0,00;0,22%
2020-05-22 00:00:00+02:00;246,77;246,77;245,83;246,51;130;0,00;0,00;0,00;0,09%
2020-05-25 00:00:00+02:00;247,03;248,85;245,95;246,41;2328;0,00;0,00;0,00;-0,04%
2020-05-26 00:00:00+02:00;245,61;245,61;244,76;245,22;51;0,00;0,00;0,00;-0,48%
2020-05-27 00:00:00+02:00;245,44;246,36;245,30;246,27;48;0,00;0,00;0,00;0,43%
2020-05-28 00:00:00+02:00;245,85;247,65;245,85;246,93;536;0,00;0,00;0,00;0,27%
2020-05-29 00:00:00+02:00;247,39;248,02;246,91;247,43;419;0,00;0,00;0,00;0,20%
2020-06-02 00:00:00+02:00;246,68;246,68;245,80;246,14;1418;0,00;0,00;0,00;-0,52%
2020-06-03 00:00:00+02:00;244,76;245,68;243,97;243,97;376;0,00;0,00;0,00;-0,88%
2020-06-04 00:00:00+02:00;244,08;246,11;243,57;244,01;344;0,00;0,00;0,00;0,02%
2020-06-05 00:00:00+02:00;242,89;243,07;241,95;242,11;359;0,00;0,00;0,00;-0,78%
2020-06-08 00:00:00+02:00;242,17;244,10;241,76;243,91;516;0,00;0,00;0,00;0,74%
2020-06-09 00:00:00+02:00;243,43;244,40;243,19;243,19;249;0,00;0,00;0,00;-0,30%
2020-06-10 00:00:00+02:00;242,74;243,64;242,67;243,03;293;0,00;0,00;0,00;-0,06%
2020-06-11 00:00:00+02:00;244,59;246,36;244,57;246,31;1108;0,00;0,00;0,00;1,35%
2020-06-12 00:00:00+02:00;246,63;247,61;245,74;247,26;348;0,00;0,00;0,00;0,39%
2020-06-15 00:00:00+02:00;248,39;248,51;247,49;247,49;636;0,00;0,00;0,00;0,09%
2020-06-16 00:00:00+02:00;247,49;248,52;246,54;247,68;911;0,00;0,00;0,00;0,07%
2020-06-17 00:00:00+02:00;246,74;247,92;246,73;247,72;722;0,00;0,00;0,00;0,02%
2020-06-18 00:00:00+02:00;248,28;249,82;247,93;249,52;1587;0,00;0,00;0,00;0,72%
2020-06-19 00:00:00+02:00;249,59;250,51;249,56;250,23;190;0,00;0,00;0,00;0,28%
2020-06-22 00:00:00+02:00;249,81;251,90;249,81;251,17;2711;0,00;0,00;0,00;0,38%
2020-06-23 00:00:00+02:00;251,17;251,17;249,62;249,62;247;0,00;0,00;0,00;-0,62%
2020-06-24 00:00:00+02:00;248,94;251,43;248,67;251,24;1602;0,00;0,00;0,00;0,65%
2020-06-25 00:00:00+02:00;252,31;252,44;251,43;252,36;1185;0,00;0,00;0,00;0,44%
2020-06-26 00:00:00+02:00;252,36;252,65;252,25;252,30;332;0,00;0,00;0,00;-0,02%
2020-06-29 00:00:00+02:00;252,30;252,50;251,61;252,24;321;0,00;0,00;0,00;-0,03%
2020-06-30 00:00:00+02:00;252,02;253,24;251,82;251,82;1172;0,00;0,00;0,00;-0,16%
2020-07-01 00:00:00+02:00;251,02;251,02;249,52;249,85;44;0,00;0,00;0,00;-0,78%
2020-07-02 00:00:00+02:00;249,75;251,81;249,75;251,73;548;0,00;0,00;0,00;0,75%
2020-07-03 00:00:00+02:00;251,82;252,51;251,25;251,43;110;0,00;0,00;0,00;-0,12%
2020-07-06 00:00:00+02:00;251,31;252,07;250,94;251,82;506;0,00;0,00;0,00;0,15%
2020-07-07 00:00:00+02:00;253,20;253,20;251,58;252,69;246;0,00;0,00;0,00;0,34%
2020-07-08 00:00:00+02:00;252,75;253,57;252,75;253,35;194;0,00;0,00;0,00;0,26%
2020-07-09 00:00:00+02:00;253,32;253,79;253,20;253,79;358;0,00;0,00;0,00;0,17%
2020-07-10 00:00:00+02:00;254,84;254,89;254,20;254,35;205;0,00;0,00;0,00;0,22%
2020-07-13 00:00:00+02:00;253,45;253,71;251,54;252,06;115;0,00;0,00;0,00;-0,90%
2020-07-14 00:00:00+02:00;253,36;254,05;252,82;253,97;776;0,00;0,00;0,00;0,76%
2020-07-15 00:00:00+02:00;254,16;254,87;253,57;253,94;315;0,00;0,00;0,00;-0,01%
2020-07-16 00:00:00+02:00;254,06;254,87;253,60;254,61;135;0,00;0,00;0,00;0,26%
2020-07-17 00:00:00+02:00;254,43;254,89;253,99;254,10;62;0,00;0,00;0,00;-0,20%
2020-07-20 00:00:00+02:00;254,02;256,03;254,00;255,84;1546;0,00;0,00;0,00;0,69%
2020-07-21 00:00:00+02:00;256,24;256,39;255,60;255,94;223;0,00;0,00;0,00;0,04%
2020-07-22 00:00:00+02:00;256,08;257,27;255,14;257,20;504;0,00;0,00;0,00;0,49%
2020-07-23 00:00:00+02:00;256,54;257,93;256,54;257,89;247;0,00;0,00;0,00;0,27%
2020-07-24 00:00:00+02:00;257,79;258,65;255,87;256,49;407;0,00;0,00;0,00;-0,54%
2020-07-27 00:00:00+02:00;256,54;258,01;256,54;258,01;691;0,00;0,00;0,00;0,59%
2020-07-28 00:00:00+02:00;258,11;258,53;257,78;258,31;467;0,00;0,00;0,00;0,11%
2020-07-29 00:00:00+02:00;258,74;258,74;257,26;257,73;783;0,00;0,00;0,00;-0,23%
2020-07-30 00:00:00+02:00;258,10;259,82;258,10;259,55;90;0,00;0,00;0,00;0,71%
2020-07-31 00:00:00+02:00;260,34;260,34;257,99;258,45;56;0,00;0,00;0,00;-0,43%
2020-08-03 00:00:00+02:00;258,89;258,89;257,30;258,28;558;0,00;0,00;0,00;-0,06%
2020-08-04 00:00:00+02:00;257,83;260,56;257,83;260,41;653;0,00;0,00;0,00;0,83%
2020-08-05 00:00:00+02:00;260,41;260,41;258,41;259,01;255;0,00;0,00;0,00;-0,54%
2020-08-06 00:00:00+02:00;259,02;260,67;258,00;260,55;282;0,00;0,00;0,00;0,59%
2020-08-07 00:00:00+02:00;260,38;260,85;260,09;260,09;293;0,00;0,00;0,00;-0,18%
2020-08-10 00:00:00+02:00;259,89;260,97;259,89;260,83;5406;0,00;0,00;0,00;0,28%
2020-08-11 00:00:00+02:00;260,45;260,62;258,23;258,34;347;0,00;0,00;0,00;-0,96%
2020-08-12 00:00:00+02:00;258,27;258,27;256,83;257,64;3720;0,00;0,00;0,00;-0,27%
2020-08-13 00:00:00+02:00;258,21;258,23;255,12;255,59;178;0,00;0,00;0,00;-0,80%
2020-08-14 00:00:00+02:00;255,59;256,18;254,65;255,89;1013;0,00;0,00;0,00;0,12%
2020-08-17 00:00:00+02:00;256,74;257,48;256,01;257,48;2232;0,00;0,00;0,00;0,62%
2020-08-18 00:00:00+02:00;257,51;258,37;257,48;257,92;410;0,00;0,00;0,00;0,17%
2020-08-19 00:00:00+02:00;258,77;259,17;258,20;258,61;24;0,00;0,00;0,00;0,27%
2020-08-20 00:00:00+02:00;258,59;259,96;258,59;259,39;341;0,00;0,00;0,00;0,30%
2020-08-21 00:00:00+02:00;259,28;260,09;258,36;258,72;501;0,00;0,00;0,00;-0,26%
2020-08-24 00:00:00+02:00;259,57;259,57;258,51;258,81;95;0,00;0,00;0,00;0,03%
2020-08-25 00:00:00+02:00;257,58;257,88;255,26;255,26;849;0,00;0,00;0,00;-1,37%
2020-08-26 00:00:00+02:00;254,88;255,11;254,35;255,11;147;0,00;0,00;0,00;-0,06%
2020-08-27 00:00:00+02:00;255,11;256,79;254,18;254,18;707;0,00;0,00;0,00;-0,36%
2020-08-28 00:00:00+02:00;253,18;254,28;253,18;253,87;84;0,00;0,00;0,00;-0,12%
2020-08-31 00:00:00+02:00;253,10;253,31;252,54;252,77;1037;0,00;0,00;0,00;-0,43%
2020-09-01 00:00:00+02:00;253,74;254,37;252,66;254,11;69;0,00;0,00;0,00;0,53%
2020-09-02 00:00:00+02:00;255,17;257,68;255,17;257,68;176;0,00;0,00;0,00;1,41%
2020-09-03 00:00:00+02:00;257,85;258,68;256,60;258,02;615;0,00;0,00;0,00;0,13%
2020-09-04 00:00:00+02:00;258,16;258,29;256,67;256,91;325;0,00;0,00;0,00;-0,43%
2020-09-07 00:00:00+02:00;256,07;256,80;255,60;255,62;732;0,00;0,00;0,00;-0,50%
2020-09-08 00:00:00+02:00;255,55;257,34;255,36;256,69;1075;0,00;0,00;0,00;0,42%
2020-09-09 00:00:00+02:00;257,31;257,96;256,27;256,27;1950;0,00;0,00;0,00;-0,17%
2020-09-10 00:00:00+02:00;256,55;257,27;255,44;255,63;101;0,00;0,00;0,00;-0,25%
2020-09-11 00:00:00+02:00;257,43;257,87;256,77;257,87;373;0,00;0,00;0,00;0,87%
2020-09-14 00:00:00+02:00;257,97;259,29;257,97;258,37;1168;0,00;0,00;0,00;0,20%
2020-09-15 00:00:00+02:00;258,20;258,84;257,58;258,79;395;0,00;0,00;0,00;0,16%
2020-09-16 00:00:00+02:00;258,36;259,90;258,36;259,44;1316;0,00;0,00;0,00;0,25%
2020-09-17 00:00:00+02:00;259,26;260,29;258,53;259,78;240;0,00;0,00;0,00;0,13%
2020-09-18 00:00:00+02:00;259,03;260,22;259,03;259,22;684;0,00;0,00;0,00;-0,22%
2020-09-21 00:00:00+02:00;259,15;261,29;259,15;261,29;309;0,00;0,00;0,00;0,80%
2020-09-22 00:00:00+02:00;261,29;261,69;260,97;261,16;484;0,00;0,00;0,00;-0,05%
2020-09-23 00:00:00+02:00;261,61;262,30;261,14;261,44;2567;0,00;0,00;0,00;0,11%
2020-09-24 00:00:00+02:00;261,82;262,04;261,31;261,31;287;0,00;0,00;0,00;-0,05%
2020-09-25 00:00:00+02:00;261,30;262,36;261,28;261,98;725;0,00;0,00;0,00;0,26%
2020-09-28 00:00:00+02:00;261,98;262,14;261,11;262,14;105;0,00;0,00;0,00;0,06%
2020-09-29 00:00:00+02:00;262,17;263,21;262,17;263,17;3587;0,00;0,00;0,00;0,39%
2020-09-30 00:00:00+02:00;262,75;263,37;261,90;261,90;1251;0,00;0,00;0,00;-0,48%
2020-10-01 00:00:00+02:00;261,95;262,80;261,46;262,63;955;0,00;0,00;0,00;0,28%
2020-10-02 00:00:00+02:00;262,97;263,96;262,97;263,37;1095;0,00;0,00;0,00;0,28%
2020-10-05 00:00:00+02:00;263,37;264,10;262,05;262,49;395;0,00;0,00;0,00;-0,34%
2020-10-06 00:00:00+02:00;262,35;263,20;261,91;262,49;887;0,00;0,00;0,00;0,00%
2020-10-07 00:00:00+02:00;263,36;263,36;261,78;262,07;1652;0,00;0,00;0,00;-0,16%
2020-10-08 00:00:00+02:00;262,36;263,56;262,12;263,56;369;0,00;0,00;0,00;0,57%
2020-10-09 00:00:00+02:00;263,61;265,12;263,61;264,66;245;0,00;0,00;0,00;0,42%
2020-10-12 00:00:00+02:00;264,66;266,08;264,66;265,89;766;0,00;0,00;0,00;0,47%
2020-10-13 00:00:00+02:00;265,91;266,74;265,73;266,67;305;0,00;0,00;0,00;0,29%
2020-10-14 00:00:00+02:00;267,44;268,01;267,21;267,21;386;0,00;0,00;0,00;0,20%
2020-10-15 00:00:00+02:00;268,23;268,31;267,39;267,83;3463;0,00;0,00;0,00;0,23%
2020-10-16 00:00:00+02:00;267,77;269,09;267,77;268,77;3123;0,00;0,00;0,00;0,35%
2020-10-19 00:00:00+02:00;268,32;268,32;266,90;267,52;1349;0,00;0,00;0,00;-0,47%
2020-10-20 00:00:00+02:00;267,70;267,70;266,43;266,93;532;0,00;0,00;0,00;-0,22%
2020-10-21 00:00:00+02:00;266,52;266,55;265,42;265,44;1606;0,00;0,00;0,00;-0,56%
2020-10-22 00:00:00+02:00;265,53;265,53;264,03;264,07;1195;0,00;0,00;0,00;-0,52%
2020-10-23 00:00:00+02:00;264,56;264,91;263,68;264,55;8807;0,00;0,00;0,00;0,18%
2020-10-26 00:00:00+01:00;266,45;266,91;264,96;265,56;1394;0,00;0,00;0,00;0,38%
2020-10-27 00:00:00+01:00;265,83;267,15;265,51;267,15;2117;0,00;0,00;0,00;0,60%
2020-10-28 00:00:00+01:00;267,08;267,77;266,24;266,74;1197;0,00;0,00;0,00;-0,15%
2020-10-29 00:00:00+01:00;266,20;268,33;266,20;267,99;313;0,00;0,00;0,00;0,47%
2020-10-30 00:00:00+01:00;267,35;268,03;267,20;267,66;1013;0,00;0,00;0,00;-0,12%
2020-11-02 00:00:00+01:00;267,78;268,11;266,97;268,11;993;0,00;0,00;0,00;0,17%
2020-11-03 00:00:00+01:00;267,62;268,47;267,39;268,11;952;0,00;0,00;0,00;0,00%
2020-11-04 00:00:00+01:00;269,72;269,81;268,74;269,24;582;0,00;0,00;0,00;0,42%
2020-11-05 00:00:00+01:00;269,94;270,14;268,97;269,34;586;0,00;0,00;0,00;0,04%
2020-11-06 00:00:00+01:00;269,84;270,00;268,46;268,71;2199;0,00;0,00;0,00;-0,24%
2020-11-09 00:00:00+01:00;269,39;270,22;263,29;263,60;3160;0,00;0,00;0,00;-1,90%
2020-11-10 00:00:00+01:00;263,50;263,96;262,56;262,97;1355;0,00;0,00;0,00;-0,24%
2020-11-11 00:00:00+01:00;262,38;264,63;262,25;264,21;490;0,00;0,00;0,00;0,47%
2020-11-12 00:00:00+01:00;265,33;266,13;264,64;265,89;310;0,91;0,00;0,00;0,63%
2020-11-13 00:00:00+01:00;266,12;267,50;266,12;266,91;446;0,00;0,00;0,00;0,39%
2020-11-16 00:00:00+01:00;267,96;268,40;266,03;267,52;1899;0,00;0,00;0,00;0,23%
2020-11-17 00:00:00+01:00;267,60;268,46;267,54;268,40;1119;0,00;0,00;0,00;0,33%
2020-11-18 00:00:00+01:00;269,22;269,41;268,16;268,16;511;0,00;0,00;0,00;-0,09%
2020-11-19 00:00:00+01:00;268,80;269,01;268,23;268,73;404;0,00;0,00;0,00;0,21%
2020-11-20 00:00:00+01:00;269,13;269,13;268,54;268,94;1756;0,00;0,00;0,00;0,08%
2020-11-23 00:00:00+01:00;269,05;269,05;268,02;268,37;4811;0,00;0,00;0,00;-0,21%
2020-11-24 00:00:00+01:00;268,25;268,69;268,17;268,26;362;0,00;0,00;0,00;-0,04%
2020-11-25 00:00:00+01:00;268,25;268,89;268,05;268,55;3564;0,00;0,00;0,00;0,11%
2020-11-26 00:00:00+01:00;268,35;269,29;268,03;269,28;596;0,00;0,00;0,00;0,27%
2020-11-27 00:00:00+01:00;269,27;269,65;269,08;269,38;995;0,00;0,00;0,00;0,04%
2020-11-30 00:00:00+01:00;269,50;269,75;268,33;268,34;1853;0,00;0,00;0,00;-0,39%
2020-12-01 00:00:00+01:00;269,11;269,11;265,97;265,97;827;0,00;0,00;0,00;-0,88%
2020-12-02 00:00:00+01:00;265,97;266,36;265,81;266,36;1359;0,00;0,00;0,00;0,15%
2020-12-03 00:00:00+01:00;266,43;267,89;266,36;267,84;612;0,00;0,00;0,00;0,56%
2020-12-04 00:00:00+01:00;267,98;268,34;266,91;267,15;304;0,00;0,00;0,00;-0,26%
2020-12-07 00:00:00+01:00;268,20;269,10;268,20;268,83;1464;0,00;0,00;0,00;0,63%
2020-12-08 00:00:00+01:00;269,01;270,13;268,63;269,89;486;0,00;0,00;0,00;0,40%
2020-12-09 00:00:00+01:00;269,68;269,90;269,11;269,90;873;0,00;0,00;0,00;0,00%
2020-12-10 00:00:00+01:00;270,37;271,20;269,15;269,94;2465;0,00;0,00;0,00;0,01%
2020-12-11 00:00:00+01:00;270,61;271,81;270,61;271,54;332;0,00;0,00;0,00;0,59%
2020-12-14 00:00:00+01:00;271,27;271,42;270,36;270,98;4419;0,00;0,00;0,00;-0,21%
2020-12-15 00:00:00+01:00;271,46;271,58;271,06;271,21;1439;0,00;0,00;0,00;0,09%
2020-12-16 00:00:00+01:00;271,23;271,23;268,79;269,46;1380;0,00;0,00;0,00;-0,65%
2020-12-17 00:00:00+01:00;269,38;270,64;269,08;269,80;3024;0,00;0,00;0,00;0,13%
2020-12-18 00:00:00+01:00;269,74;269,90;268,43;269,35;167;0,00;0,00;0,00;-0,17%
2020-12-21 00:00:00+01:00;271,10;271,25;269,26;269,87;1383;0,00;0,00;0,00;0,19%
2020-12-22 00:00:00+01:00;270,00;270,46;268,96;270,41;6141;0,00;0,00;0,00;0,20%
2020-12-23 00:00:00+01:00;270,65;270,65;267,89;268,30;715;0,00;0,00;0,00;-0,78%
2020-12-28 00:00:00+01:00;268,89;269,45;268,26;269,03;274;0,00;0,00;0,00;0,27%
2020-12-29 00:00:00+01:00;269,48;269,86;269,07;269,75;315;0,00;0,00;0,00;0,27%
2020-12-30 00:00:00+01:00;268,99;269,28;268,85;269,25;191;0,00;0,00;0,00;-0,19%
2021-01-04 00:00:00+01:00;269,30;270,92;268,59;270,46;932;0,00;0,00;0,00;0,45%
2021-01-05 00:00:00+01:00;270,47;270,47;269,75;269,75;2718;0,00;0,00;0,00;-0,26%
2021-01-06 00:00:00+01:00;268,13;269,33;268,13;268,85;438;0,00;0,00;0,00;-0,33%
2021-01-07 00:00:00+01:00;268,88;269,54;268,44;268,67;2675;0,00;0,00;0,00;-0,07%
2021-01-08 00:00:00+01:00;269,45;269,99;269,31;269,50;700;0,00;0,00;0,00;0,31%
2021-01-11 00:00:00+01:00;269,95;269,95;267,80;267,98;695;0,00;0,00;0,00;-0,57%
2021-01-12 00:00:00+01:00;267,31;267,31;265,57;265,64;334;0,00;0,00;0,00;-0,87%
2021-01-13 00:00:00+01:00;266,31;268,40;266,31;268,37;2570;0,00;0,00;0,00;1,03%
2021-01-14 00:00:00+01:00;268,20;268,58;267,81;268,45;658;0,00;0,00;0,00;0,03%
2021-01-15 00:00:00+01:00;268,97;268,97;267,93;268,18;1585;0,00;0,00;0,00;-0,10%
2021-01-18 00:00:00+01:00;268,33;268,33;266,57;267,26;422;0,00;0,00;0,00;-0,35%
2021-01-19 00:00:00+01:00;267,04;267,89;266,92;267,89;1449;0,00;0,00;0,00;0,24%
2021-01-20 00:00:00+01:00;267,97;268,06;267,36;267,52;595;0,00;0,00;0,00;-0,13%
2021-01-21 00:00:00+01:00;268,22;268,22;264,78;265,27;3779;0,00;0,00;0,00;-0,84%
2021-01-22 00:00:00+01:00;265,14;265,45;264,36;264,90;111;0,00;0,00;0,00;-0,14%
2021-01-25 00:00:00+01:00;265,25;267,64;265,25;267,39;327;0,00;0,00;0,00;0,94%
2021-01-26 00:00:00+01:00;267,59;267,67;267,01;267,02;182;0,00;0,00;0,00;-0,14%
2021-01-27 00:00:00+01:00;267,02;268,00;266,77;267,01;323;0,00;0,00;0,00;-0,01%
2021-01-28 00:00:00+01:00;267,01;267,59;266,67;266,72;2679;0,00;0,00;0,00;-0,11%
2021-01-29 00:00:00+01:00;267,14;267,14;265,27;266,02;1797;0,00;0,00;0,00;-0,26%
2021-02-01 00:00:00+01:00;266,39;266,58;265,45;265,82;1845;0,00;0,00;0,00;-0,08%
2021-02-02 00:00:00+01:00;265,02;265,39;264,12;264,52;4103;0,00;0,00;0,00;-0,49%
2021-02-03 00:00:00+01:00;264,55;265,39;264,30;264,30;1467;0,00;0,00;0,00;-0,08%
2021-02-04 00:00:00+01:00;264,32;264,69;263,70;264,28;436;0,00;0,00;0,00;-0,01%
2021-02-05 00:00:00+01:00;264,37;264,68;263,06;263,85;404;0,00;0,00;0,00;-0,16%
2021-02-08 00:00:00+01:00;263,65;263,87;262,90;263,87;1254;0,00;0,00;0,00;0,01%
2021-02-09 00:00:00+01:00;264,07;264,36;263,62;264,03;582;0,00;0,00;0,00;0,06%
2021-02-10 00:00:00+01:00;264,03;264,66;263,54;263,60;2760;0,00;0,00;0,00;-0,16%
2021-02-11 00:00:00+01:00;264,48;264,72;264,09;264,52;1256;0,00;0,00;0,00;0,35%
2021-02-12 00:00:00+01:00;264,37;264,99;262,48;262,77;344;0,00;0,00;0,00;-0,66%
2021-02-15 00:00:00+01:00;261,80;261,80;260,76;260,98;1202;0,00;0,00;0,00;-0,68%
2021-02-16 00:00:00+01:00;261,70;261,70;259,50;259,50;604;0,00;0,00;0,00;-0,57%
2021-02-17 00:00:00+01:00;258,65;259,65;258,29;259,55;867;0,00;0,00;0,00;0,02%
2021-02-18 00:00:00+01:00;259,30;259,54;256,95;257,44;955;0,00;0,00;0,00;-0,81%
2021-02-19 00:00:00+01:00;256,59;257,23;256,45;256,81;837;0,00;0,00;0,00;-0,24%
2021-02-22 00:00:00+01:00;255,97;258,80;255,19;258,38;2651;0,00;0,00;0,00;0,61%
2021-02-23 00:00:00+01:00;258,25;258,25;255,06;256,66;1443;0,00;0,00;0,00;-0,67%
2021-02-24 00:00:00+01:00;256,73;257,21;254,03;255,19;3886;0,00;0,00;0,00;-0,57%
2021-02-25 00:00:00+01:00;254,41;254,41;252,38;252,38;326;0,00;0,00;0,00;-1,10%
2021-02-26 00:00:00+01:00;253,20;255,33;253,09;254,82;1106;0,00;0,00;0,00;0,96%
2021-03-01 00:00:00+01:00;256,52;258,25;256,52;257,93;6858;0,00;0,00;0,00;1,22%
2021-03-02 00:00:00+01:00;258,45;258,45;256,20;257,45;4964;0,00;0,00;0,00;-0,18%
2021-03-03 00:00:00+01:00;257,38;257,45;254,40;254,73;2507;0,00;0,00;0,00;-1,06%
2021-03-04 00:00:00+01:00;255,56;255,59;254,82;255,01;246;0,00;0,00;0,00;0,11%
2021-03-05 00:00:00+01:00;254,36;254,77;253,68;254,55;173;0,00;0,00;0,00;-0,18%
2021-03-08 00:00:00+01:00;254,13;254,96;253,91;254,24;86;0,00;0,00;0,00;-0,12%
2021-03-09 00:00:00+01:00;255,06;256,93;254,96;255,60;3762;0,00;0,00;0,00;0,54%
2021-03-10 00:00:00+01:00;255,73;256,62;255,51;256,11;391;0,00;0,00;0,00;0,20%
2021-03-11 00:00:00+01:00;257,07;258,69;256,21;257,68;893;0,00;0,00;0,00;0,61%
2021-03-12 00:00:00+01:00;256,86;257,02;255,47;255,69;468;0,00;0,00;0,00;-0,77%
2021-03-15 00:00:00+01:00;256,59;257,31;255,88;256,99;390;0,00;0,00;0,00;0,51%
2021-03-16 00:00:00+01:00;256,68;257,63;256,56;256,56;340;0,00;0,00;0,00;-0,17%
2021-03-17 00:00:00+01:00;256,59;256,59;253,58;253,58;386;0,00;0,00;0,00;-1,16%
2021-03-18 00:00:00+01:00;252,28;252,77;251,93;252,70;740;0,00;0,00;0,00;-0,35%
