Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Capital Gains;Daily Return
2020-04-20 00:00:00-04:00;240,54;243,73;239,55;239,81;6498700;0,00;0,00;0,00;nan%
2020-04-21 00:00:00-04:00;235,53;236,68;231,60;232,48;6526100;0,00;0,00;0,00;-3,06%
2020-04-22 00:00:00-04:00;237,00;239,22;235,75;237,59;5626800;0,00;0,00;0,00;2,20%
2020-04-23 00:00:00-04:00;238,78;241,70;237,34;237,54;7665400;0,00;0,00;0,00;-0,02%
2020-04-24 00:00:00-04:00;239,01;241,51;237,10;240,99;4768200;0,00;0,00;0,00;1,45%
2020-04-27 00:00:00-04:00;242,72;245,41;242,32;244,47;3892200;0,00;0,00;0,00;1,45%
2020-04-28 00:00:00-04:00;247,79;248,08;242,99;243,34;5849500;0,00;0,00;0,00;-0,46%
2020-04-29 00:00:00-04:00;248,25;251,05;247,26;249,62;6773100;0,00;0,00;0,00;2,58%
2020-04-30 00:00:00-04:00;248,35;248,81;245,71;247,44;7386600;0,00;0,00;0,00;-0,87%
2020-05-01 00:00:00-04:00;242,84;243,50;239,69;240,69;4790700;0,00;0,00;0,00;-2,73%
2020-05-04 00:00:00-04:00;238,93;241,70;237,65;241,45;4128900;0,00;0,00;0,00;0,32%
2020-05-05 00:00:00-04:00;244,06;246,24;243,27;243,68;4437200;0,00;0,00;0,00;0,92%
2020-05-06 00:00:00-04:00;245,22;245,60;241,92;242,04;3021400;0,00;0,00;0,00;-0,67%
2020-05-07 00:00:00-04:00;244,98;246,70;244,47;244,90;3410200;0,00;0,00;0,00;1,18%
2020-05-08 00:00:00-04:00;247,84;249,33;246,77;249,00;3201100;0,00;0,00;0,00;1,67%
2020-05-11 00:00:00-04:00;247,14;250,31;246,82;249,03;3469300;0,00;0,00;0,00;0,01%
2020-05-12 00:00:00-04:00;250,11;250,50;243,95;244,02;5159900;0,00;0,00;0,00;-2,01%
2020-05-13 00:00:00-04:00;243,52;244,47;237,49;239,69;5617500;0,00;0,00;0,00;-1,77%
2020-05-14 00:00:00-04:00;237,46;242,71;235,28;242,58;7737600;0,00;0,00;0,00;1,21%
2020-05-15 00:00:00-04:00;240,44;243,74;239,53;243,68;3385900;0,00;0,00;0,00;0,45%
2020-05-18 00:00:00-04:00;249,50;252,63;249,25;251,13;6759200;0,00;0,00;0,00;3,06%
2020-05-19 00:00:00-04:00;250,69;252,21;248,59;248,75;4921100;0,00;0,00;0,00;-0,94%
2020-05-20 00:00:00-04:00;251,90;253,64;251,69;252,81;4896200;0,00;0,00;0,00;1,63%
2020-05-21 00:00:00-04:00;252,72;253,45;250,08;251,00;3581300;0,00;0,00;0,00;-0,72%
2020-05-22 00:00:00-04:00;250,83;251,72;249,66;251,56;2296400;0,00;0,00;0,00;0,23%
2020-05-26 00:00:00-04:00;257,10;257,30;254,34;254,79;4911800;0,00;0,00;0,00;1,29%
2020-05-27 00:00:00-04:00;257,33;258,51;252,77;258,51;5152400;0,00;0,00;0,00;1,46%
2020-05-28 00:00:00-04:00;259,42;261,28;257,36;258,00;4630600;0,00;0,00;0,00;-0,20%
2020-05-29 00:00:00-04:00;257,56;259,71;255,09;259,16;7049300;0,00;0,00;0,00;0,45%
2020-06-01 00:00:00-04:00;258,53;260,77;258,06;260,29;3888200;0,00;0,00;0,00;0,44%
2020-06-02 00:00:00-04:00;261,05;262,43;259,82;262,43;4343900;0,00;0,00;0,00;0,82%
2020-06-03 00:00:00-04:00;264,21;266,74;263,96;265,89;5568100;0,00;0,00;0,00;1,32%
2020-06-04 00:00:00-04:00;264,95;266,57;263,28;265,22;3818600;0,00;0,00;0,00;-0,25%
2020-06-05 00:00:00-04:00;270,16;273,64;270,14;272,00;6015500;0,00;0,00;0,00;2,56%
2020-06-08 00:00:00-04:00;272,76;275,43;272,25;275,30;5559700;0,00;0,00;0,00;1,21%
2020-06-09 00:00:00-04:00;272,81;274,57;272,02;273,34;4686400;0,00;0,00;0,00;-0,71%
2020-06-10 00:00:00-04:00;273,78;274,57;271,05;271,64;5602600;0,00;0,00;0,00;-0,62%
2020-06-11 00:00:00-04:00;265,28;265,80;255,50;255,98;7748200;0,00;0,00;0,00;-5,76%
2020-06-12 00:00:00-04:00;262,49;263,23;254,29;259,06;6232200;0,00;0,00;0,00;1,21%
2020-06-15 00:00:00-04:00;253,75;262,49;252,69;261,43;4431400;0,00;0,00;0,00;0,91%
2020-06-16 00:00:00-04:00;268,70;268,84;262,01;266,54;5295000;0,00;0,00;0,00;1,96%
2020-06-17 00:00:00-04:00;267,48;267,75;264,84;265,32;2662800;0,00;0,00;0,00;-0,46%
2020-06-18 00:00:00-04:00;263,99;265,98;263,60;265,56;2756300;0,00;0,00;0,00;0,09%
2020-06-19 00:00:00-04:00;268,69;268,90;262,79;263,99;3479500;0,00;0,00;0,00;-0,59%
2020-06-22 00:00:00-04:00;263,42;266,05;262,41;265,74;2518000;0,00;0,00;0,00;0,66%
2020-06-23 00:00:00-04:00;268,20;269,05;266,58;266,95;2503600;0,00;0,00;0,00;0,45%
2020-06-24 00:00:00-04:00;265,02;265,60;258,43;260,12;4532300;0,00;0,00;0,00;-2,56%
2020-06-25 00:00:00-04:00;259,63;263,19;257,74;262,87;3897400;0,00;0,00;0,00;1,06%
2020-06-26 00:00:00-04:00;261,91;262,09;256,17;256,71;4479000;0,00;0,00;0,00;-2,34%
2020-06-29 00:00:00-04:00;257,84;260,48;255,82;260,46;3464600;1,43;0,00;0,00;1,46%
2020-06-30 00:00:00-04:00;260,08;265,35;259,95;263,93;5215700;0,00;0,00;0,00;1,33%
2020-07-01 00:00:00-04:00;264,81;266,80;264,42;265,74;3712600;0,00;0,00;0,00;0,68%
2020-07-02 00:00:00-04:00;268,89;270,10;266,49;267,08;3661100;0,00;0,00;0,00;0,50%
2020-07-06 00:00:00-04:00;270,67;271,52;269,96;271,22;3573800;0,00;0,00;0,00;1,55%
2020-07-07 00:00:00-04:00;269,74;271,61;268,08;268,41;3420300;0,00;0,00;0,00;-1,04%
2020-07-08 00:00:00-04:00;269,12;270,56;267,53;270,40;2434200;0,00;0,00;0,00;0,74%
2020-07-09 00:00:00-04:00;271,00;271,26;265,78;269,03;3164600;0,00;0,00;0,00;-0,51%
2020-07-10 00:00:00-04:00;268,86;271,92;267,57;271,73;2712400;0,00;0,00;0,00;1,00%
